country;Developed
Afghanistan;0
South Africa;0
Albania;0
Algeria;0
Germany;1
Andorra;1
Angola;0
Antigua and Barbuda;0
Saudi Arabia;1
Argentina;0
Armenia;0
Australia;1
Austria;1
Azerbaijan;0
Bahamas;1
Bahrain;1
Bangladesh;0
Barbados;1
Belgium;1
Belize;0
Benin;0
Bhutan;0
Belarus;0
Myanmar;0
Bolivia;0
Bosnia and Herzegovina;0
Botswana;0
Brazil;0
Brunei;1
Bulgaria;0
Burkina Faso;0
Burundi;0
Cambodia;0
Cameroon;0
Canada;1
Cape Verde;0
Chile;1
China;0
Cyprus;1
Colombia;0
Comoros;0
Congo (Brazzaville);0
Congo (Kinshasa);0
North Korea;0
South Korea;1
Costa Rica;0
Ivory Coast;0
Croatia;1
Cuba;0
Denmark;1
Djibouti;0
Dominica;0
Egypt;0
UAE;1
Ecuador;0
Eritrea;0
Spain;1
Estonia;1
United States;1
Ethiopia;0
Fiji;0
Finland;1
France;1
Gabon;0
Gambia;0
Georgia;0
Ghana;0
Greece;1
Grenada;0
Guatemala;0
Guinea;0
Equatorial Guinea;0
Guinea-Bissau;0
Guyana;0
Haiti;0
Honduras;0
Hungary;1
Cook Islands;0
Marshall Islands;0
Solomon Islands;0
India;0
Indonesia;0
Iraq;0
Iran;0
Ireland;1
Iceland;1
Israel;1
Italy;1
Jamaica;0
Japan;1
Jordan;0
Kazakhstan;0
Kenya;0
Kyrgyzstan;0
Kiribati;0
Kosovo;0
Kuwait;1
Laos;0
Latvia;1
Lebanon;0
Liberia;0
Libya;0
Liechtenstein;1
Lithuania;1
Luxembourg;1
North Macedonia;0
Madagascar;0
Malaysia;0
Malawi;0
Maldives;0
Mali;0
Malta;1
Morocco;0
Mauritius;1
Mauritania;0
Mexico;0
Micronesia;0
Moldova;0
Monaco;1
Mongolia;0
Montenegro;0
Mozambique;0
Namibia;0
Nauru;0
Nepal;0
Nicaragua;0
Niger;0
Nigeria;0
Norway;1
New Zealand;1
Oman;0
Uganda;0
Uzbekistan;0
Pakistan;0
Palau;0
Panama;0
Papua New Guinea;0
Paraguay;0
Netherlands;1
Peru;0
Philippines;0
Poland;1
Portugal;1
Qatar;1
Central African Republic;0
Czech Republic;1
Romania;0
United Kingdom;1
Russia;0
Rwanda;0
Saint Kitts and Nevis;0
San Marino;1
Saint Vincent and the Grenadines;0
Saint Lucia;0
El Salvador;0
Samoa;0
São Tomé and Príncipe;0
Senegal;0
Serbia;0
Seychelles;1
Sierra Leone;0
Singapore;1
Slovakia;1
Slovenia;1
Somalia;0
Sudan;0
South Sudan;0
Sri Lanka;0
Sweden;1
Switzerland;1
Suriname;0
Syria;0
Tajikistan;0
Tanzania;0
Chad;0
Thailand;0
East Timor;0
Togo;0
Tonga;0
Trinidad and Tobago;0
Tunisia;0
Turkmenistan;0
Turkey;0
Tuvalu;0
Ukraine;0
Uruguay;0
Vanuatu;0
Vatican City;1
Venezuela;0
Vietnam;0
Yemen;0
Zambia;0
Zimbabwe;0
